xflr5 v6.59

Aetheria
T1-83.3 m/s-VLM1
QInf  =,   83.300000 ,m/s
Alpha = ,   3.100000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.432987
Cy    = ,   0.000000
Cd=,   0.012107,ICd=,    0.006955,PCd=,    0.005153
Cl   = ,-8.82067e-18
Cm   =,   -0.197281
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.557443, YCP=,   -0.000000, ZCP=,    0.016093 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -4.8365,   0.6605, -1.976, 0.116368, 0.005609, 0.006989,-0.093664,-0.020896, 0.5757, 0.2452, 0.4292, 0.0000
   -4.8067,   0.6666, -1.833, 0.179646, 0.005523, 0.006258,-0.138305,-0.026886, 0.5412, 0.2998, 0.3989, 0.1415
   -4.7473,   0.6788, -1.650, 0.245692, 0.005424, 0.007211,-0.183809,-0.034219, 0.5070, 0.3673, 0.3885, 1.7391
   -4.6585,   0.6969, -1.450, 0.302849, 0.005296, 0.007710,-0.219678,-0.040133, 0.4787, 0.4451, 0.3818, 8.6611
   -4.5411,   0.7208, -1.260, 0.349160, 0.005204, 0.007695,-0.244499,-0.044425, 0.4559, 0.5063, 0.3765,28.4006
   -4.3957,   0.7505, -1.097, 0.385002, 0.005146, 0.007374,-0.259225,-0.047373, 0.4370, 0.5506, 0.3723,72.7642
   -4.2231,   0.7858, -0.966, 0.411713, 0.005107, 0.006943,-0.265705,-0.049338, 0.4217, 0.5769, 0.3691,158.2088
   -4.0245,   0.8263, -0.869, 0.430912, 0.005095, 0.006532,-0.265950,-0.050629, 0.4079, 0.5890, 0.3668,305.8951
   -3.8011,   0.8719, -0.801, 0.444135, 0.005088, 0.006207,-0.261766,-0.051470, 0.3959, 0.5901, 0.3652,541.5075
   -3.5543,   0.9223, -0.759, 0.452688, 0.005091, 0.005992,-0.254622,-0.052009, 0.3859, 0.5855, 0.3642,894.8659
   -3.2856,   0.9772, -0.738, 0.457602, 0.005099, 0.005889,-0.245636,-0.052345, 0.3780, 0.5788, 0.3637,1399.3329
   -2.9966,   1.0362, -0.734, 0.459660, 0.005108, 0.005887,-0.235622,-0.052538, 0.3709, 0.5673, 0.3636,2091.0081
   -2.6891,   1.0990, -0.745, 0.459431, 0.005118, 0.005974,-0.225146,-0.052626, 0.3649, 0.5519, 0.3638,3007.7018
   -2.3651,   1.1651, -0.769, 0.457312, 0.005127, 0.006136,-0.214584,-0.052631, 0.3595, 0.5330, 0.3644,4187.6897
   -2.0264,   1.2343, -0.804, 0.453562, 0.005138, 0.006365,-0.204173,-0.052564, 0.3548, 0.5111, 0.3652,5668.2614
   -1.6753,   1.3060, -0.850, 0.448328, 0.005145, 0.006653,-0.194040,-0.052425, 0.3517, 0.4890, 0.3662,7484.0903
   -1.3138,   1.3798, -0.908, 0.441656, 0.005153, 0.006999,-0.184233,-0.052203, 0.3497, 0.4656, 0.3675,9665.4709
   -0.9443,   1.4552, -0.980, 0.433486, 0.005163, 0.007411,-0.174723,-0.051871, 0.3489, 0.4399, 0.3689,12236.4747
   -0.5689,   1.5318, -1.072, 0.423603, 0.005169, 0.007928,-0.165385,-0.051354, 0.3500, 0.4156, 0.3705,15213.0848
   -0.1900,   1.6092, -1.213, 0.411392, 0.005175, 0.008729,-0.155836,-0.050429, 0.3515, 0.3911, 0.3719,18601.3352
    0.1900,   1.6092, -1.213, 0.411392, 0.005175, 0.008729,-0.155836,-0.050429, 0.3515, 0.3911, 0.3719,18601.3351
    0.5689,   1.5318, -1.072, 0.423603, 0.005169, 0.007928,-0.165385,-0.051354, 0.3500, 0.4156, 0.3705,15213.0847
    0.9443,   1.4552, -0.980, 0.433486, 0.005163, 0.007411,-0.174723,-0.051871, 0.3489, 0.4399, 0.3689,12236.4746
    1.3138,   1.3798, -0.908, 0.441656, 0.005153, 0.006999,-0.184233,-0.052203, 0.3497, 0.4656, 0.3675,9665.4708
    1.6753,   1.3060, -0.850, 0.448328, 0.005145, 0.006653,-0.194040,-0.052425, 0.3517, 0.4890, 0.3662,7484.0902
    2.0264,   1.2343, -0.804, 0.453562, 0.005138, 0.006365,-0.204173,-0.052564, 0.3548, 0.5111, 0.3652,5668.2613
    2.3651,   1.1651, -0.769, 0.457312, 0.005127, 0.006136,-0.214584,-0.052631, 0.3595, 0.5330, 0.3644,4187.6897
    2.6891,   1.0990, -0.745, 0.459431, 0.005118, 0.005974,-0.225146,-0.052626, 0.3649, 0.5519, 0.3638,3007.7017
    2.9966,   1.0362, -0.734, 0.459660, 0.005108, 0.005887,-0.235622,-0.052538, 0.3709, 0.5673, 0.3636,2091.0080
    3.2856,   0.9772, -0.738, 0.457602, 0.005099, 0.005889,-0.245636,-0.052345, 0.3780, 0.5788, 0.3637,1399.3329
    3.5543,   0.9223, -0.759, 0.452688, 0.005091, 0.005992,-0.254622,-0.052009, 0.3859, 0.5855, 0.3642,894.8659
    3.8011,   0.8719, -0.801, 0.444135, 0.005088, 0.006207,-0.261766,-0.051470, 0.3959, 0.5901, 0.3652,541.5075
    4.0245,   0.8263, -0.869, 0.430912, 0.005095, 0.006532,-0.265950,-0.050629, 0.4079, 0.5890, 0.3668,305.8951
    4.2231,   0.7858, -0.966, 0.411713, 0.005107, 0.006943,-0.265705,-0.049338, 0.4217, 0.5769, 0.3691,158.2088
    4.3957,   0.7505, -1.097, 0.385002, 0.005146, 0.007374,-0.259225,-0.047373, 0.4370, 0.5506, 0.3723,72.7642
    4.5411,   0.7208, -1.260, 0.349160, 0.005204, 0.007695,-0.244499,-0.044425, 0.4559, 0.5063, 0.3765,28.4006
    4.6585,   0.6969, -1.450, 0.302849, 0.005296, 0.007710,-0.219678,-0.040133, 0.4787, 0.4451, 0.3818, 8.6610
    4.7473,   0.6788, -1.650, 0.245692, 0.005424, 0.007211,-0.183809,-0.034219, 0.5070, 0.3673, 0.3885, 1.7391
    4.8067,   0.6666, -1.833, 0.179646, 0.005523, 0.006258,-0.138305,-0.026886, 0.5412, 0.2998, 0.3989, 0.1415
    4.8365,   0.6605, -1.976, 0.116368, 0.005609, 0.006989,-0.093664,-0.020896, 0.5757, 0.2452, 0.4292, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
 127,   7.732e-01,  -4.223e+00,   1.151e-02,       0.032,      -0.006,       0.999,   1.059e-02,      0.3199
 128,   7.155e-01,  -4.223e+00,   1.325e-02,       0.024,      -0.005,       1.000,   1.114e-02,      0.3506
 129,   6.552e-01,  -4.223e+00,   1.456e-02,       0.015,      -0.005,       1.000,   1.142e-02,      0.3825
 130,   5.937e-01,  -4.223e+00,   1.538e-02,       0.007,      -0.004,       1.000,   1.142e-02,      0.4221
 131,   5.326e-01,  -4.223e+00,   1.562e-02,      -0.005,      -0.004,       1.000,   1.114e-02,      0.4688
 132,   4.734e-01,  -4.223e+00,   1.510e-02,      -0.023,      -0.004,       1.000,   1.059e-02,      0.4915
 133,   4.176e-01,  -4.223e+00,   1.360e-02,      -0.040,      -0.003,       0.999,   9.777e-03,      0.5036
 134,   3.664e-01,  -4.223e+00,   1.137e-02,      -0.056,      -0.004,       0.998,   8.726e-03,      0.5141
 135,   3.213e-01,  -4.223e+00,   8.701e-03,      -0.070,      -0.004,       0.998,   7.459e-03,      0.5327
 136,   2.832e-01,  -4.223e+00,   5.952e-03,      -0.081,      -0.004,       0.997,   6.006e-03,      0.5767
 137,   2.531e-01,  -4.223e+00,   3.458e-03,      -0.090,      -0.005,       0.996,   4.402e-03,      0.6871
 138,   2.318e-01,  -4.223e+00,   1.518e-03,      -0.096,      -0.005,       0.995,   2.687e-03,      1.0029
 139,   2.198e-01,  -4.223e+00,   3.599e-04,      -0.099,      -0.005,       0.995,   9.034e-04,      2.2757
Strip 8
 140,   1.031e+00,  -4.025e+00,   8.430e-05,       0.066,      -0.010,       0.998,   1.077e-03,      0.0574
 141,   1.023e+00,  -4.025e+00,   5.829e-04,       0.065,      -0.010,       0.998,   3.205e-03,      0.0982
 142,   1.006e+00,  -4.025e+00,   1.706e-03,       0.062,      -0.010,       0.998,   5.253e-03,      0.1422
 143,   9.789e-01,  -4.025e+00,   3.359e-03,       0.058,      -0.009,       0.998,   7.170e-03,      0.1846
 144,   9.429e-01,  -4.025e+00,   5.401e-03,       0.053,      -0.008,       0.999,   8.910e-03,      0.2253
 145,   8.990e-01,  -4.025e+00,   7.662e-03,       0.047,      -0.008,       0.999,   1.043e-02,      0.2632
 146,   8.482e-01,  -4.025e+00,   9.955e-03,       0.040,      -0.007,       0.999,   1.169e-02,      0.2989
 147,   7.918e-01,  -4.025e+00,   1.210e-02,       0.032,      -0.006,       0.999,   1.266e-02,      0.3325
 148,   7.311e-01,  -4.025e+00,   1.393e-02,       0.024,      -0.005,       1.000,   1.333e-02,      0.3649
 149,   6.677e-01,  -4.025e+00,   1.532e-02,       0.015,      -0.005,       1.000,   1.366e-02,      0.3983
 150,   6.030e-01,  -4.025e+00,   1.618e-02,       0.007,      -0.004,       1.000,   1.366e-02,      0.4394
 151,   5.388e-01,  -4.025e+00,   1.643e-02,      -0.005,      -0.004,       1.000,   1.332e-02,      0.4876
 152,   4.766e-01,  -4.025e+00,   1.588e-02,      -0.023,      -0.004,       1.000,   1.266e-02,      0.5119
 153,   4.178e-01,  -4.025e+00,   1.431e-02,      -0.040,      -0.003,       0.999,   1.169e-02,      0.5259
 154,   3.640e-01,  -4.025e+00,   1.195e-02,      -0.056,      -0.004,       0.998,   1.043e-02,      0.5388
 155,   3.165e-01,  -4.025e+00,   9.150e-03,      -0.070,      -0.004,       0.998,   8.919e-03,      0.5610
 156,   2.765e-01,  -4.025e+00,   6.259e-03,      -0.081,      -0.004,       0.997,   7.182e-03,      0.6109
 157,   2.449e-01,  -4.025e+00,   3.637e-03,      -0.090,      -0.005,       0.996,   5.264e-03,      0.7326
 158,   2.225e-01,  -4.025e+00,   1.596e-03,      -0.096,      -0.005,       0.995,   3.213e-03,      1.0756
 159,   2.099e-01,  -4.025e+00,   3.785e-04,      -0.099,      -0.005,       0.995,   1.080e-03,      2.4478
Strip 9
 160,   1.065e+00,  -3.801e+00,   8.896e-05,       0.066,      -0.010,       0.998,   1.267e-03,      0.0586
 161,   1.057e+00,  -3.801e+00,   6.151e-04,       0.065,      -0.010,       0.998,   3.769e-03,      0.1002
 162,   1.039e+00,  -3.801e+00,   1.801e-03,       0.062,      -0.010,       0.998,   6.177e-03,      0.1453
 163,   1.010e+00,  -3.801e+00,   3.545e-03,       0.058,      -0.009,       0.998,   8.431e-03,      0.1887
 164,   9.722e-01,  -3.801e+00,   5.699e-03,       0.053,      -0.008,       0.999,   1.048e-02,      0.2304
 165,   9.258e-01,  -3.801e+00,   8.085e-03,       0.047,      -0.008,       0.999,   1.226e-02,      0.2694
 166,   8.722e-01,  -3.801e+00,   1.050e-02,       0.040,      -0.007,       0.999,   1.375e-02,      0.3063
 167,   8.127e-01,  -3.801e+00,   1.277e-02,       0.032,      -0.006,       0.999,   1.489e-02,      0.3411
 168,   7.487e-01,  -3.801e+00,   1.470e-02,       0.024,      -0.005,       1.000,   1.567e-02,      0.3745
 169,   6.817e-01,  -3.801e+00,   1.616e-02,       0.015,      -0.005,       1.000,   1.606e-02,      0.4090
 170,   6.135e-01,  -3.801e+00,   1.707e-02,       0.007,      -0.004,       1.000,   1.606e-02,      0.4512
 171,   5.457e-01,  -3.801e+00,   1.734e-02,      -0.005,      -0.004,       1.000,   1.566e-02,      0.5004
 172,   4.800e-01,  -3.801e+00,   1.675e-02,      -0.023,      -0.004,       1.000,   1.489e-02,      0.5259
 173,   4.181e-01,  -3.801e+00,   1.509e-02,      -0.040,      -0.003,       0.999,   1.375e-02,      0.5412
 174,   3.613e-01,  -3.801e+00,   1.261e-02,      -0.056,      -0.004,       0.998,   1.227e-02,      0.5559
 175,   3.112e-01,  -3.801e+00,   9.655e-03,      -0.070,      -0.004,       0.998,   1.049e-02,      0.5807
 176,   2.689e-01,  -3.801e+00,   6.605e-03,      -0.081,      -0.004,       0.997,   8.445e-03,      0.6349
 177,   2.356e-01,  -3.801e+00,   3.837e-03,      -0.090,      -0.005,       0.996,   6.190e-03,      0.7647
 178,   2.120e-01,  -3.801e+00,   1.684e-03,      -0.096,      -0.005,       0.995,   3.778e-03,      1.1268
 179,   1.986e-01,  -3.801e+00,   3.994e-04,      -0.099,      -0.005,       0.995,   1.270e-03,      2.5693
Strip 10
 180,   1.103e+00,  -3.554e+00,   9.410e-05,       0.066,      -0.010,       0.998,   1.469e-03,      0.0593
 181,   1.094e+00,  -3.554e+00,   6.506e-04,       0.065,      -0.010,       0.998,   4.371e-03,      0.1016
 182,   1.075e+00,  -3.554e+00,   1.905e-03,       0.062,      -0.010,       0.998,   7.164e-03,      0.1472
 183,   1.045e+00,  -3.554e+00,   3.750e-03,       0.058,      -0.009,       0.998,   9.779e-03,      0.1913
 184,   1.004e+00,  -3.554e+00,   6.029e-03,       0.053,      -0.008,       0.999,   1.215e-02,      0.2338
 185,   9.555e-01,  -3.554e+00,   8.553e-03,       0.047,      -0.008,       0.999,   1.422e-02,      0.2735
 186,   8.988e-01,  -3.554e+00,   1.111e-02,       0.040,      -0.007,       0.999,   1.594e-02,      0.3111
 187,   8.358e-01,  -3.554e+00,   1.351e-02,       0.032,      -0.006,       0.999,   1.727e-02,      0.3465
 188,   7.680e-01,  -3.554e+00,   1.555e-02,       0.024,      -0.005,       1.000,   1.817e-02,      0.3807
 189,   6.972e-01,  -3.554e+00,   1.710e-02,       0.015,      -0.005,       1.000,   1.863e-02,      0.4159
 190,   6.251e-01,  -3.554e+00,   1.805e-02,       0.007,      -0.004,       1.000,   1.863e-02,      0.4588
 191,   5.534e-01,  -3.554e+00,   1.834e-02,      -0.005,      -0.004,       1.000,   1.817e-02,      0.5087
 192,   4.839e-01,  -3.554e+00,   1.772e-02,      -0.023,      -0.004,       1.000,   1.727e-02,      0.5349
 193,   4.183e-01,  -3.554e+00,   1.597e-02,      -0.040,      -0.003,       0.999,   1.594e-02,      0.5511
 194,   3.583e-01,  -3.554e+00,   1.334e-02,      -0.056,      -0.004,       0.998,   1.423e-02,      0.5670
 195,   3.053e-01,  -3.554e+00,   1.021e-02,      -0.070,      -0.004,       0.998,   1.216e-02,      0.5934
 196,   2.606e-01,  -3.554e+00,   6.987e-03,      -0.081,      -0.004,       0.997,   9.794e-03,      0.6504
 197,   2.253e-01,  -3.554e+00,   4.059e-03,      -0.090,      -0.005,       0.996,   7.179e-03,      0.7855
 198,   2.003e-01,  -3.554e+00,   1.781e-03,      -0.096,      -0.005,       0.995,   4.382e-03,      1.1601
 199,   1.862e-01,  -3.554e+00,   4.225e-04,      -0.099,      -0.005,       0.995,   1.473e-03,      2.6483
Strip 11
 200,   1.144e+00,  -3.286e+00,   9.970e-05,       0.066,      -0.010,       0.998,   1.684e-03,      0.0598
 201,   1.135e+00,  -3.286e+00,   6.893e-04,       0.065,      -0.010,       0.998,   5.010e-03,      0.1023
 202,   1.114e+00,  -3.286e+00,   2.018e-03,       0.062,      -0.010,       0.998,   8.211e-03,      0.1484
 203,   1.082e+00,  -3.286e+00,   3.973e-03,       0.058,      -0.009,       0.998,   1.121e-02,      0.1929
 204,   1.040e+00,  -3.286e+00,   6.387e-03,       0.053,      -0.008,       0.999,   1.393e-02,      0.2357
 205,   9.877e-01,  -3.286e+00,   9.061e-03,       0.047,      -0.008,       0.999,   1.630e-02,      0.2759
 206,   9.276e-01,  -3.286e+00,   1.177e-02,       0.040,      -0.007,       0.999,   1.827e-02,      0.3139
 207,   8.609e-01,  -3.286e+00,   1.431e-02,       0.032,      -0.006,       0.999,   1.979e-02,      0.3498
 208,   7.892e-01,  -3.286e+00,   1.647e-02,       0.024,      -0.005,       1.000,   2.083e-02,      0.3843
 209,   7.141e-01,  -3.286e+00,   1.811e-02,       0.015,      -0.005,       1.000,   2.135e-02,      0.4199
 210,   6.377e-01,  -3.286e+00,   1.913e-02,       0.007,      -0.004,       1.000,   2.135e-02,      0.4632
 211,   5.617e-01,  -3.286e+00,   1.943e-02,      -0.005,      -0.004,       1.000,   2.082e-02,      0.5135
 212,   4.881e-01,  -3.286e+00,   1.878e-02,      -0.023,      -0.004,       1.000,   1.979e-02,      0.5401
 213,   4.186e-01,  -3.286e+00,   1.692e-02,      -0.040,      -0.003,       0.999,   1.827e-02,      0.5568
 214,   3.550e-01,  -3.286e+00,   1.413e-02,      -0.056,      -0.004,       0.998,   1.631e-02,      0.5733
 215,   2.989e-01,  -3.286e+00,   1.082e-02,      -0.070,      -0.004,       0.998,   1.394e-02,      0.6007
 216,   2.515e-01,  -3.286e+00,   7.402e-03,      -0.081,      -0.004,       0.997,   1.123e-02,      0.6592
 217,   2.141e-01,  -3.286e+00,   4.301e-03,      -0.090,      -0.005,       0.996,   8.228e-03,      0.7972
 218,   1.877e-01,  -3.286e+00,   1.887e-03,      -0.096,      -0.005,       0.995,   5.022e-03,      1.1787
 219,   1.727e-01,  -3.286e+00,   4.476e-04,      -0.099,      -0.005,       0.995,   1.688e-03,      2.6922
Strip 12
 220,   1.188e+00,  -2.997e+00,   1.057e-04,       0.066,      -0.010,       0.998,   1.910e-03,      0.0600
 221,   1.178e+00,  -2.997e+00,   7.309e-04,       0.065,      -0.010,       0.998,   5.681e-03,      0.1027
 222,   1.156e+00,  -2.997e+00,   2.140e-03,       0.062,      -0.010,       0.998,   9.311e-03,      0.1490
 223,   1.123e+00,  -2.997e+00,   4.213e-03,       0.058,      -0.009,       0.998,   1.271e-02,      0.1937
 224,   1.077e+00,  -2.997e+00,   6.773e-03,       0.053,      -0.008,       0.999,   1.579e-02,      0.2367
 225,   1.022e+00,  -2.997e+00,   9.608e-03,       0.047,      -0.008,       0.999,   1.849e-02,      0.2770
 226,   9.587e-01,  -2.997e+00,   1.248e-02,       0.040,      -0.007,       0.999,   2.072e-02,      0.3152
 227,   8.879e-01,  -2.997e+00,   1.517e-02,       0.032,      -0.006,       0.999,   2.245e-02,      0.3513
 228,   8.118e-01,  -2.997e+00,   1.747e-02,       0.024,      -0.005,       1.000,   2.362e-02,      0.3860
 229,   7.323e-01,  -2.997e+00,   1.921e-02,       0.015,      -0.005,       1.000,   2.421e-02,      0.4218
 230,   6.512e-01,  -2.997e+00,   2.028e-02,       0.007,      -0.004,       1.000,   2.421e-02,      0.4652
 231,   5.707e-01,  -2.997e+00,   2.060e-02,      -0.005,      -0.004,       1.000,   2.361e-02,      0.5156
 232,   4.926e-01,  -2.997e+00,   1.991e-02,      -0.023,      -0.004,       1.000,   2.244e-02,      0.5424
 233,   4.190e-01,  -2.997e+00,   1.794e-02,      -0.040,      -0.003,       0.999,   2.072e-02,      0.5592
 234,   3.515e-01,  -2.997e+00,   1.499e-02,      -0.056,      -0.004,       0.998,   1.849e-02,      0.5758
 235,   2.920e-01,  -2.997e+00,   1.147e-02,      -0.070,      -0.004,       0.998,   1.581e-02,      0.6035
 236,   2.417e-01,  -2.997e+00,   7.849e-03,      -0.081,      -0.004,       0.997,   1.273e-02,      0.6625
 237,   2.021e-01,  -2.997e+00,   4.560e-03,      -0.090,      -0.005,       0.996,   9.331e-03,      0.8014
 238,   1.740e-01,  -2.997e+00,   2.001e-03,      -0.096,      -0.005,       0.995,   5.695e-03,      1.1852
 239,   1.582e-01,  -2.997e+00,   4.746e-04,      -0.099,      -0.005,       0.995,   1.915e-03,      2.7075
Strip 13
 240,   1.235e+00,  -2.689e+00,   1.121e-04,       0.066,      -0.010,       0.998,   2.144e-03,      0.0600
 241,   1.225e+00,  -2.689e+00,   7.752e-04,       0.065,      -0.010,       0.998,   6.379e-03,      0.1028
 242,   1.201e+00,  -2.689e+00,   2.269e-03,       0.062,      -0.010,       0.998,   1.046e-02,      0.1490
 243,   1.165e+00,  -2.689e+00,   4.468e-03,       0.058,      -0.009,       0.998,   1.427e-02,      0.1937
 244,   1.118e+00,  -2.689e+00,   7.183e-03,       0.053,      -0.008,       0.999,   1.773e-02,      0.2368
 245,   1.059e+00,  -2.689e+00,   1.019e-02,       0.047,      -0.008,       0.999,   2.076e-02,      0.2771
 246,   9.918e-01,  -2.689e+00,   1.324e-02,       0.040,      -0.007,       0.999,   2.327e-02,      0.3154
 247,   9.167e-01,  -2.689e+00,   1.609e-02,       0.032,      -0.006,       0.999,   2.521e-02,      0.3515
 248,   8.360e-01,  -2.689e+00,   1.853e-02,       0.024,      -0.005,       1.000,   2.652e-02,      0.3862
 249,   7.516e-01,  -2.689e+00,   2.037e-02,       0.015,      -0.005,       1.000,   2.719e-02,      0.4219
 250,   6.657e-01,  -2.689e+00,   2.151e-02,       0.007,      -0.004,       1.000,   2.718e-02,      0.4653
 251,   5.802e-01,  -2.689e+00,   2.185e-02,      -0.005,      -0.004,       1.000,   2.652e-02,      0.5157
 252,   4.974e-01,  -2.689e+00,   2.112e-02,      -0.023,      -0.004,       1.000,   2.520e-02,      0.5423
 253,   4.193e-01,  -2.689e+00,   1.903e-02,      -0.040,      -0.003,       0.999,   2.327e-02,      0.5589
 254,   3.478e-01,  -2.689e+00,   1.590e-02,      -0.056,      -0.004,       0.998,   2.077e-02,      0.5754
 255,   2.846e-01,  -2.689e+00,   1.217e-02,      -0.070,      -0.004,       0.998,   1.775e-02,      0.6027
 256,   2.314e-01,  -2.689e+00,   8.325e-03,      -0.081,      -0.004,       0.997,   1.429e-02,      0.6613
 257,   1.893e-01,  -2.689e+00,   4.836e-03,      -0.090,      -0.005,       0.996,   1.048e-02,      0.7995
 258,   1.595e-01,  -2.689e+00,   2.123e-03,      -0.096,      -0.005,       0.995,   6.395e-03,      1.1820
 259,   1.427e-01,  -2.689e+00,   5.034e-04,      -0.099,      -0.005,       0.995,   2.150e-03,      2.6994
Strip 14
 260,   1.284e+00,  -2.365e+00,   1.189e-04,       0.066,      -0.010,       0.998,   2.386e-03,      0.0599
 261,   1.274e+00,  -2.365e+00,   8.219e-04,       0.065,      -0.010,       0.998,   7.097e-03,      0.1025
 262,   1.249e+00,  -2.365e+00,   2.406e-03,       0.062,      -0.010,       0.998,   1.163e-02,      0.1487
 263,   1.211e+00,  -2.365e+00,   4.737e-03,       0.058,      -0.009,       0.998,   1.588e-02,      0.1933
 264,   1.160e+00,  -2.365e+00,   7.616e-03,       0.053,      -0.008,       0.999,   1.973e-02,      0.2362
 265,   1.098e+00,  -2.365e+00,   1.080e-02,       0.047,      -0.008,       0.999,   2.309e-02,      0.2764
 266,   1.027e+00,  -2.365e+00,   1.404e-02,       0.040,      -0.007,       0.999,   2.589e-02,      0.3146
 267,   9.470e-01,  -2.365e+00,   1.706e-02,       0.032,      -0.006,       0.999,   2.804e-02,      0.3505
 268,   8.614e-01,  -2.365e+00,   1.964e-02,       0.024,      -0.005,       1.000,   2.951e-02,      0.3851
 269,   7.720e-01,  -2.365e+00,   2.160e-02,       0.015,      -0.005,       1.000,   3.025e-02,      0.4207
 270,   6.809e-01,  -2.365e+00,   2.281e-02,       0.007,      -0.004,       1.000,   3.024e-02,      0.4638
 271,   5.903e-01,  -2.365e+00,   2.317e-02,      -0.005,      -0.004,       1.000,   2.950e-02,      0.5139
 272,   5.025e-01,  -2.365e+00,   2.239e-02,      -0.023,      -0.004,       1.000,   2.803e-02,      0.5402
 273,   4.197e-01,  -2.365e+00,   2.017e-02,      -0.040,      -0.003,       0.999,   2.589e-02,      0.5565
 274,   3.438e-01,  -2.365e+00,   1.685e-02,      -0.056,      -0.004,       0.998,   2.310e-02,      0.5724
 275,   2.769e-01,  -2.365e+00,   1.290e-02,      -0.070,      -0.004,       0.998,   1.975e-02,      0.5990
 276,   2.204e-01,  -2.365e+00,   8.826e-03,      -0.081,      -0.004,       0.997,   1.590e-02,      0.6564
 277,   1.758e-01,  -2.365e+00,   5.128e-03,      -0.090,      -0.005,       0.996,   1.166e-02,      0.7926
 278,   1.443e-01,  -2.365e+00,   2.250e-03,      -0.096,      -0.005,       0.995,   7.115e-03,      1.1705
 279,   1.265e-01,  -2.365e+00,   5.337e-04,      -0.099,      -0.005,       0.995,   2.392e-03,      2.6717
Strip 15
 280,   1.336e+00,  -2.026e+00,   1.259e-04,       0.066,      -0.010,       0.998,   2.630e-03,      0.0596
 281,   1.325e+00,  -2.026e+00,   8.707e-04,       0.065,      -0.010,       0.998,   7.825e-03,      0.1021
 282,   1.299e+00,  -2.026e+00,   2.549e-03,       0.062,      -0.010,       0.998,   1.283e-02,      0.1480
 283,   1.258e+00,  -2.026e+00,   5.018e-03,       0.058,      -0.009,       0.998,   1.751e-02,      0.1924
 284,   1.204e+00,  -2.026e+00,   8.068e-03,       0.053,      -0.008,       0.999,   2.176e-02,      0.2351
 285,   1.139e+00,  -2.026e+00,   1.145e-02,       0.047,      -0.008,       0.999,   2.546e-02,      0.2751
 286,   1.063e+00,  -2.026e+00,   1.487e-02,       0.040,      -0.007,       0.999,   2.854e-02,      0.3130
 287,   9.787e-01,  -2.026e+00,   1.807e-02,       0.032,      -0.006,       0.999,   3.092e-02,      0.3486
 288,   8.880e-01,  -2.026e+00,   2.081e-02,       0.024,      -0.005,       1.000,   3.254e-02,      0.3830
 289,   7.933e-01,  -2.026e+00,   2.288e-02,       0.015,      -0.005,       1.000,   3.335e-02,      0.4182
 290,   6.967e-01,  -2.026e+00,   2.416e-02,       0.007,      -0.004,       1.000,   3.335e-02,      0.4610
 291,   6.008e-01,  -2.026e+00,   2.454e-02,      -0.005,      -0.004,       1.000,   3.253e-02,      0.5107
 292,   5.078e-01,  -2.026e+00,   2.372e-02,      -0.023,      -0.004,       1.000,   3.091e-02,      0.5365
 293,   4.201e-01,  -2.026e+00,   2.137e-02,      -0.040,      -0.003,       0.999,   2.854e-02,      0.5522
 294,   3.397e-01,  -2.026e+00,   1.785e-02,      -0.056,      -0.004,       0.998,   2.548e-02,      0.5672
 295,   2.688e-01,  -2.026e+00,   1.367e-02,      -0.070,      -0.004,       0.998,   2.178e-02,      0.5927
 296,   2.090e-01,  -2.026e+00,   9.350e-03,      -0.081,      -0.004,       0.997,   1.754e-02,      0.6483
 297,   1.617e-01,  -2.026e+00,   5.432e-03,      -0.090,      -0.005,       0.996,   1.285e-02,      0.7813
 298,   1.283e-01,  -2.026e+00,   2.384e-03,      -0.096,      -0.005,       0.995,   7.845e-03,      1.1519
 299,   1.094e-01,  -2.026e+00,   5.653e-04,      -0.099,      -0.005,       0.995,   2.637e-03,      2.6271
Strip 16
 300,   1.390e+00,  -1.675e+00,   1.332e-04,       0.066,      -0.010,       0.998,   2.875e-03,      0.0592
 301,   1.378e+00,  -1.675e+00,   9.212e-04,       0.065,      -0.010,       0.998,   8.554e-03,      0.1014
 302,   1.350e+00,  -1.675e+00,   2.697e-03,       0.062,      -0.010,       0.998,   1.402e-02,      0.1470
 303,   1.307e+00,  -1.675e+00,   5.309e-03,       0.058,      -0.009,       0.998,   1.914e-02,      0.1910
 304,   1.250e+00,  -1.675e+00,   8.536e-03,       0.053,      -0.008,       0.999,   2.378e-02,      0.2334
 305,   1.181e+00,  -1.675e+00,   1.211e-02,       0.047,      -0.008,       0.999,   2.783e-02,      0.2730
 306,   1.101e+00,  -1.675e+00,   1.573e-02,       0.040,      -0.007,       0.999,   3.120e-02,      0.3105
 307,   1.012e+00,  -1.675e+00,   1.912e-02,       0.032,      -0.006,       0.999,   3.380e-02,      0.3459
 308,   9.156e-01,  -1.675e+00,   2.201e-02,       0.024,      -0.005,       1.000,   3.556e-02,      0.3798
 309,   8.154e-01,  -1.675e+00,   2.421e-02,       0.015,      -0.005,       1.000,   3.646e-02,      0.4147
